7/22/2009,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,,,3,,,,,,3,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,3,1,1,,,79,,,84,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,1,37,,,38,8
O. infirmatus,12,9,5,,2,137,,,165,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,,15,7,,,279,,,301,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,9,19,,,,,,,28,25
C. nigrapalpus,10,,12,,,175,,,197,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,17,,,,,67,,,84,41
Coquillettidia  perturbans,,,,,,,,,0,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,,,,,1,,,,1,50
P. ferox,,,2,,7,79,,,88,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
