7/19/2012,,,,,,,,
Site:,1,2,3,4,5,6,Totals,Code #
Aedes albopictus,24,,,,,,0,2
A. aegypti,,,,,,,0,3
A. vexans,,,,,,,0,1
Ochlerotatus atlanticus,224,146,115,,248,3904,4637,9
O. dupreei,,,,,,,0,18
O. fulvus pallens,,,,,,,0,8
O. infirmatus,112,135,,10,,,257,7
O.  mitchellae,,,,,,,0,6
O. solicitans,,,,,,,0,15
O.  taeniorhynchus,,,,,,,0,5
O.  triseriatus,,,,,,,0,14
Anopheles crucians,48,112,37,10,48,640,895,34
A. quadrimaculatus,,,,,,,0,31
Culex  erraticus,,14,28,,16,,58,25
C. nigrapalpus,472,288,437,1138,132,192,2659,42
C.  quinquefasciatus,,,,,,,0,27
C. restuans,,,,,,,0,21
C.  salinarius,,,,,,,0,23
Culiseta  inornata,,,,,,,0,40
Culiseta  melanura,,,,,,,0,41
Coquillettidia  perturbans,,,,,,,0,60
Mansonia  titillans,,,,,,,0,47
M. dyari,,,,,,,0,48
Psorophora  ciliata,,,,,,,0,51
P. columbiae,40,11,14,31,12,64,56,50
P. ferox,32,,21,,16,256,21,52
P. howardii,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,0,70
U.  lowii,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,0,80
W.  vanduzeei,,,,,,,0,82
