10/14/2014,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,,,,,,,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,1,,,,1,8
O. infirmatus,36,,1,1,1,216,,16,,10,281,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,47,,1,,,8,4,192,3,5,260,34
A. quadrimaculatus,,,1,,,,2,,1,,4,31
Culex  erraticus,6,,,,,,,32,6,,44,25
C. nigripalpus,59,2,38,,2,32,17,256,44,73,523,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,5,,,,,,,,,,5,41
Coquillettidia  perturbans,,,,,,,3,160,7,18,188,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,2,,,,,,38,1472,63,9,1584,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,2,,1,,,20,,16,,,39,50
P. ferox,4,,,1,1,36,,,,19,61,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,4,4,1,,,8,2,96,14,6,135,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other*,,,,,,,,,,,0,
