5/27/2015,,,,,,,,,,trap malf(x),,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,1,,,,,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,1,,,16,,,17,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,1,,,,,,,,1,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,57,15,2,2,,144,3,336,64,,623,34
A. quadrimaculatus,,,,,,3,,,,,3,31
Culex  erraticus,,,,,,2,,,,,2,25
C. nigripalpus,6,26,5,,4,22,14,112,8,,197,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,3,,,,,3,,,,,6,41
Coquillettidia  perturbans,3,5,,1,2,14,28,64,56,,173,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,9,,,,2,3,208,472,,694,48
Psorophora  ciliata,1,,,,,,,,,,1,51
P. columbiae,9,8,,,,,,,,,17,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
