6/17/2015,,,,,,,,,,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #,,,,,,,,,
Aedes albopictus,1,,3,,,,,4,,,8,2,,,,,,,,,
A. aegypti,,,,,,,,,,,0,3,,,,,,,,,
A. vexans,,2,1,,,3,2,,40,6,54,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,0,9,,,,,,,,,
O. dupreei,,,,,,,,,,,0,18,,,,,,,,,
O. fulvus pallens,,,,,,,,,,,0,8,,,,,,,,,
O. infirmatus,,,,,,,,,,,0,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,0,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,0,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,0,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,0,14,,,,,,,,,
Anopheles crucians,49,11,,,,,1,56,32,88,237,34,,,,,,,,,
A. quadrimaculatus,,,,,,,,,,,0,31,,,,,,,,,
Culex  erraticus,,,,,,,,,,,0,25,,,,,,,,,
C. nigripalpus,61,44,10,,4,15,10,32,352,98,626,42,,,,,,,,,
C.  quinquefasciatus,,,,,1,2,,,,,3,27,,,,,,,,,
C. restuans,,,,,,,,,,,0,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,0,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,0,40,,,,,,,,,
Culiseta  melanura,,,,,,,,4,,4,8,41,,,,,,,,,
Coquillettidia  perturbans,18,,4,,7,,7,608,152,12,808,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,0,47,,,,,,,,,
M. dyari,,10,,,,1,10,,120,8,149,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,0,51,,,,,,,,,
P. columbiae,1,2,2,,,2,,,,,7,50,,,,,,,,,
P. ferox,,,,,,,,,,2,2,52,,,,,,,,,
P. howardii,,,,,,,,,,,0,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,0,88,,,,,,,,,
Uranotaenia  sapphirina,,,,,,,,,,,0,70,,,,,,,,,
U.  lowii,,,,,,,,,,,0,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,,,0,80,,,,,,,,,
W.  vanduzeei,,,,,,,,,,,0,82,,,,,,,,,
Other,,,,,,,,,,,0,100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
