10/28/2015,,,,,,,,,,,,
,Transfer Station NE 63rd Ave,Monteocha Park,CR 1491 High Springs,Laperriere Residence High Springs,Woodlands Subdivision Tower Road,SE 171 St Hawthorne,Bowman Residence Archer,Micanopy,Hawthorne  Chix Site,UF AES NW 71 St,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,2,,,,,,8,,10,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,7,2,,,36,,,,,45,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,,,4,,,4,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,90,2,,1,1,20,32,172,32,56,406,34
A. quadrimaculatus,1,1,,,,,,,,,2,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,86,18,7,1,2,176,8,76,424,78,876,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,2,,,,,,,,,,2,41
Coquillettidia  perturbans,,,,,,,6,16,16,6,44,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,8,13,9,,3,36,98,104,224,74,569,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,2,1,,,,8,,,,,11,50
P. ferox,,,,,,,,,,2,2,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,2,,,,,,,,,,2,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
