Clarke Mosquito Control - FL CEMM,,,,,,,,,,
"Mosquito Specimen Collections--Alachua County, FL",,,,,,,,,,
8/6/2009,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,2,,,1,3,,,,6,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,37,,14,21,15,39,,,126,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,18,,9,,10,25,,,62,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,28,13,24,,12,29,,,106,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,54,2,8,,5,37,,,106,25
C. nigrapalpus,39,19,17,,31,83,,,189,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,17,,,,,,,,17,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,0,41
Coquillettidia  perturbans,12,,,,,27,,,39,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,9,4,,,,19,,,32,51
P. columbiae,12,,,,,,,,12,50
P. ferox,10,13,7,20,,24,,,74,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
Totals,238,51,79,42,76,283,0,0,769,
,,,,,,,,,,
Diachlorus ferragatus,,,,,,,,,,
Totals,,,,,,,,,,
*=actual number present in sample,,,,,,,,,,
