6/27/2012,,,,,,,,
Site:,1,2,3,4,5,6,Totals,Code #
Aedes albopictus,,,,,1,,1,2
A. aegypti,,,,,,,0,3
A. vexans,,,,,,,0,1
Ochlerotatus atlanticus,12,5,,16,1,6,40,9
O. dupreei,,,,,,,0,18
O. fulvus pallens,,,,,,,0,8
O. infirmatus,17,12,,5,7,17,58,7
O.  mitchellae,,,,,,,0,6
O. solicitans,,,,,,,0,15
O.  taeniorhynchus,,,,,,,0,5
O.  triseriatus,,,,,,,0,14
Anopheles crucians,5,,,1,,5,11,34
A. quadrimaculatus,,,,,,,0,31
Culex  erraticus,8,1,,13,6,37,65,25
C. nigrapalpus,35,31,7,37,15,115,240,42
C.  quinquefasciatus,,,,,,,0,27
C. restuans,,,,,,,0,21
C.  salinarius,,,,,,,0,23
Culiseta  inornata,,,,,,,0,40
Culiseta  melanura,,,,,,,0,41
Coquillettidia  perturbans,1,,,,,,1,60
Mansonia  titillans,,,,,,,0,47
M. dyari,,,,,,,0,48
Psorophora  ciliata,,2,1,,,,3,51
P. columbiae,,,,,,,0,50
P. ferox,,,,,,,0,52
P. howardii,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,0,70
U.  lowii,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,0,80
W.  vanduzeei,,,,,,,0,82
