8/8/2012,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,Totals,Code #,7- Gainesville Sentinel Site
Aedes albopictus,,,,,1,,1,,3,5,2,8- Newberry Sentinel Site
A. aegypti,,,,,,,,,,0,3,9- Archer
A. vexans,,,,,,,,,,0,1,
Ochlerotatus atlanticus,12,9,,1,13,,16,31,26,108,9,
O. dupreei,,,,,,,,,,0,18,
O. fulvus pallens,,,,,,,,,,0,8,
O. infirmatus,6,1,5,,24,3,11,9,14,73,7,
O.  mitchellae,,,,,,,,,,0,6,
O. solicitans,,,,,,,,,,0,15,
O.  taeniorhynchus,,,,,,,,,,0,5,
O.  triseriatus,,,,,,,,,,0,14,
Anopheles crucians,,,,,,31,,14,1,46,34,
A. quadrimaculatus,,,,,,,,,,0,31,
Culex  erraticus,,,,,,,11,,19,30,25,
C. nigrapalpus,87,124,94,79,118,163,171,251,51,1138,42,
C.  quinquefasciatus,,,,,,,,,,0,27,
C. restuans,,,,,,,,,,0,21,
C.  salinarius,,,,,,,,11,,11,23,
Culiseta  inornata,,,,,,,,,,0,40,
Culiseta  melanura,,,,,,,,,3,3,41,
Coquillettidia  perturbans,,,,,,,,25,,25,60,
Mansonia  titillans,,,,,,,,,,0,47,
M. dyari,,,,,,,,,,0,48,
Psorophora  ciliata,8,1,,4,,11,2,,5,31,51,
P. columbiae,,,,,,,,,,0,50,
P. ferox,2,,5,7,1,18,,21,2,56,52,
P. howardii,,,,,,,,,,0,54,
Toxorhynchites rutilus,,,,,,,,,,0,88,
Uranotaenia  sapphirina,,,,,,,,,,0,70,
U.  lowii,,,,,,,,,,0,71,
Wyeomyia  mitchellii,,,,,,,,,,0,80,
W.  vanduzeei,,,,,,,,,,0,82,
