9/11/2012,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,Totals,Code #
Aedes albopictus,3,,,,,,,,1,4,2
A. aegypti,,,,,,,,,,0,3
A. vexans,,,,,,,,,,0,1
Ochlerotatus atlanticus,27,51,2,1,25,56,1,41,14,218,9
O. dupreei,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,0,8
O. infirmatus,15,2,,21,35,8,15,11,,107,7
O.  mitchellae,,,,,,,,,,0,6
O. solicitans,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,0,14
Anopheles crucians,19,,,,51,,,,4,74,34
A. quadrimaculatus,,,,,,,,,,0,31
Culex  erraticus,23,12,6,,,61,,31,,133,25
C. nigrapalpus,315,212,127,219,165,591,315,229,115,2288,42
C.  quinquefasciatus,,,,,,,,,,0,27
C. restuans,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,0,41
Coquillettidia  perturbans,2,,,1,2,,3,,1,9,60
Mansonia  titillans,,,,,,,,,,0,47
M. dyari,,,,,,,,,,0,48
Psorophora  ciliata,5,,,,,12,,,15,32,51
P. columbiae,,,,,,,,,,0,50
P. ferox,23,2,,,1,31,,2,,59,52
P. howardii,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,0,82
