8/13/2014,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,2,1,,,1,24,8,,36,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,22,,,,2,14,,,,,38,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,15,11,2,1,,3,,120,72,8,232,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,14,5,,,,7,,80,,106,25
C. nigripalpus,80,26,20,,14,82,31,80,328,12,673,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,8,,3,,,,5,272,40,27,355,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,10,20,,,,,4,312,152,5,503,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,,,72,,5,77,50
P. ferox,,,,,,4,,,,,4,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,12,10,3,,2,7,9,160,56,8,267,70
U.  lowii,,2,,,,,,16,,,18,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other (Cx coronator),,,,,,,,,,,0,100
